Item_ID,SKU_Code,Category,Supplier,Daily_Demand,Lead_Time_Days,Current_Inventory,Safety_Stock,Reorder_Point,Unit_Cost,Stockout_Risk_Score,Warehouse
51,SKU-00051,Home,Supplier_A,122,2,567,120,111,1520.5,0.551,WH3
52,SKU-00052,Home,Supplier_B,114,11,179,103,351,509.89,0.503,WH2
53,SKU-00053,Home,Supplier_B,92,3,418,19,175,97.29,0.803,WH3
54,SKU-00054,Beauty,Supplier_C,24,4,562,221,221,824.68,0.267,WH1
55,SKU-00055,Clothing,Supplier_B,18,12,146,246,112,991.08,0.17,WH2
56,SKU-00056,Electronics,Supplier_B,137,3,793,263,309,380,0.754,WH2
57,SKU-00057,Home,Supplier_A,173,4,229,25,65,135.89,0.416,WH3
58,SKU-00058,Grocery,Supplier_A,44,9,169,153,228,418.79,0.914,WH3
59,SKU-00059,Home,Supplier_C,38,12,50,51,379,1374.25,0.644,WH2
60,SKU-00060,Grocery,Supplier_C,128,12,631,12,150,210.38,0.564,WH1
61,SKU-00061,Grocery,Supplier_B,49,13,321,165,225,1132.32,0.07,WH2
62,SKU-00062,Home,Supplier_A,84,7,750,182,242,335.5,0.73,WH2
63,SKU-00063,Beauty,Supplier_C,75,8,784,33,350,431.59,0.686,WH3
64,SKU-00064,Grocery,Supplier_C,159,11,702,284,322,816.5,0.64,WH1
65,SKU-00065,Grocery,Supplier_C,82,14,276,84,310,246.61,0.268,WH3
66,SKU-00066,Home,Supplier_B,82,11,76,49,224,387.75,0.947,WH3
67,SKU-00067,Grocery,Supplier_A,176,7,28,49,283,730.46,0.322,WH3
68,SKU-00068,Grocery,Supplier_C,37,2,24,71,349,692.85,0.152,WH3
69,SKU-00069,Home,Supplier_A,37,12,133,247,265,1511.08,0.987,WH1
70,SKU-00070,Home,Supplier_C,48,4,796,254,296,195.83,0.746,WH3
71,SKU-00071,Electronics,Supplier_C,24,14,704,27,70,1727.88,0.415,WH3
72,SKU-00072,Beauty,Supplier_A,115,2,751,149,373,1641.65,0.936,WH1
73,SKU-00073,Beauty,Supplier_A,168,13,224,91,292,1543.68,0.091,WH2
74,SKU-00074,Grocery,Supplier_A,11,11,43,198,337,653.28,0.088,WH3
75,SKU-00075,Beauty,Supplier_B,164,13,512,117,329,1654.62,0.682,WH2
76,SKU-00076,Grocery,Supplier_C,199,10,701,243,293,406.46,0.178,WH3
77,SKU-00077,Electronics,Supplier_B,171,14,425,277,212,292.6,0.917,WH3
78,SKU-00078,Home,Supplier_A,28,10,122,113,195,137.66,0.84,WH1
79,SKU-00079,Home,Supplier_C,74,6,79,143,116,1881.66,0.306,WH1
80,SKU-00080,Home,Supplier_B,116,5,105,42,152,650.62,0.889,WH2
81,SKU-00081,Beauty,Supplier_C,108,13,786,246,359,1839.35,0.043,WH3
82,SKU-00082,Electronics,Supplier_B,58,10,696,187,174,581.6,0.549,WH1
83,SKU-00083,Beauty,Supplier_A,42,10,391,21,166,1819.75,0.936,WH3
84,SKU-00084,Beauty,Supplier_B,78,4,698,238,300,1812.66,0.855,WH3
85,SKU-00085,Electronics,Supplier_C,84,6,615,278,370,1851.17,0.356,WH2
86,SKU-00086,Electronics,Supplier_C,36,4,221,140,275,1017.5,0.183,WH3
87,SKU-00087,Electronics,Supplier_C,49,11,621,258,237,1738.6,0.211,WH1
88,SKU-00088,Electronics,Supplier_C,65,3,108,67,236,1903.99,0.515,WH2
89,SKU-00089,Home,Supplier_A,57,2,456,13,125,683,0.597,WH1
90,SKU-00090,Clothing,Supplier_B,132,13,139,245,322,866.81,0.033,WH2
91,SKU-00091,Clothing,Supplier_A,183,11,175,182,198,1452.52,0.414,WH2
92,SKU-00092,Electronics,Supplier_A,80,3,418,45,244,635.7,0.83,WH3
93,SKU-00093,Clothing,Supplier_A,188,9,719,288,333,1519.93,0.444,WH2
94,SKU-00094,Clothing,Supplier_C,31,12,207,246,93,194.09,0.169,WH2
95,SKU-00095,Electronics,Supplier_C,170,9,793,284,219,1070.82,0.955,WH3
96,SKU-00096,Clothing,Supplier_C,66,4,71,67,143,288.51,0.266,WH2
97,SKU-00097,Beauty,Supplier_B,22,8,671,27,273,621.98,0.798,WH2
98,SKU-00098,Grocery,Supplier_C,131,8,550,45,327,554.32,0.194,WH1
99,SKU-00099,Grocery,Supplier_B,113,3,499,138,87,1685.92,0.423,WH1
100,SKU-00100,Electronics,Supplier_C,107,10,606,10,319,427.36,0.49,WH3
101,SKU-00101,Home,Supplier_C,196,4,249,73,284,1626.47,0.501,WH2
102,SKU-00102,Electronics,Supplier_A,81,3,500,71,160,1598.22,0.516,WH3
103,SKU-00103,Home,Supplier_A,121,13,149,155,217,1022.82,0.225,WH3
104,SKU-00104,Grocery,Supplier_A,108,4,74,281,103,505.99,0.516,WH3
105,SKU-00105,Electronics,Supplier_B,162,3,290,26,176,492.45,0.482,WH1
106,SKU-00106,Beauty,Supplier_B,53,9,119,289,324,956.6,0.209,WH3
107,SKU-00107,Clothing,Supplier_C,173,6,88,107,91,67.18,0.988,WH2
108,SKU-00108,Home,Supplier_B,120,4,318,236,90,1086.13,0.866,WH1
109,SKU-00109,Clothing,Supplier_C,145,6,548,252,99,1907.92,0.888,WH1
110,SKU-00110,Clothing,Supplier_B,166,12,373,210,208,351.68,0.686,WH1
111,SKU-00111,Electronics,Supplier_B,104,12,647,188,381,1168.02,0.16,WH2
112,SKU-00112,Clothing,Supplier_B,129,9,171,279,231,1925.47,0.568,WH3
113,SKU-00113,Beauty,Supplier_A,29,8,349,243,230,1728.02,0.821,WH3
114,SKU-00114,Clothing,Supplier_B,198,7,135,121,215,1708.24,0.039,WH1
115,SKU-00115,Electronics,Supplier_A,132,14,561,75,281,1652.61,0.496,WH1
116,SKU-00116,Beauty,Supplier_A,104,2,342,254,255,652.6,0.396,WH3
117,SKU-00117,Grocery,Supplier_B,150,11,582,254,99,1786.7,0.212,WH2
118,SKU-00118,Clothing,Supplier_C,9,2,591,81,195,1885.61,0.378,WH1
119,SKU-00119,Electronics,Supplier_C,23,2,248,58,347,1016.8,0.983,WH1
120,SKU-00120,Grocery,Supplier_C,174,11,790,199,194,741.41,0.723,WH2
121,SKU-00121,Grocery,Supplier_B,22,9,379,186,65,857.75,0.3,WH1
122,SKU-00122,Home,Supplier_C,125,9,24,170,134,701.7,0.605,WH2
123,SKU-00123,Beauty,Supplier_A,36,8,47,159,265,464.22,0.247,WH3
124,SKU-00124,Clothing,Supplier_C,153,7,785,79,101,1255.97,0.611,WH3
125,SKU-00125,Electronics,Supplier_B,14,5,383,42,85,1147.06,0.896,WH1
126,SKU-00126,Home,Supplier_C,41,2,481,293,156,952.04,0.557,WH3
127,SKU-00127,Beauty,Supplier_A,181,10,250,269,268,236.9,0.733,WH2
128,SKU-00128,Home,Supplier_B,90,2,414,86,386,1603.94,0.453,WH1
129,SKU-00129,Beauty,Supplier_C,17,5,731,119,347,391.12,0.524,WH2
130,SKU-00130,Beauty,Supplier_B,187,4,290,148,303,273.4,0.695,WH3
131,SKU-00131,Clothing,Supplier_B,149,8,323,44,117,1264.99,0.812,WH3
132,SKU-00132,Beauty,Supplier_B,13,6,402,244,236,827.36,0.659,WH3
133,SKU-00133,Home,Supplier_C,92,6,577,209,173,166.63,0.977,WH1
134,SKU-00134,Beauty,Supplier_B,176,5,47,160,79,743.36,0.82,WH2
135,SKU-00135,Clothing,Supplier_C,50,2,538,43,234,1554.97,0.777,WH1
136,SKU-00136,Clothing,Supplier_A,140,6,763,133,338,1249.74,0.845,WH3
137,SKU-00137,Home,Supplier_C,123,5,218,41,102,757.43,0.281,WH3
138,SKU-00138,Grocery,Supplier_A,169,11,625,281,226,424.02,0.432,WH1
139,SKU-00139,Grocery,Supplier_C,23,14,101,133,182,1282,0.564,WH2
140,SKU-00140,Beauty,Supplier_B,195,9,107,87,126,1780.73,0.462,WH3
141,SKU-00141,Electronics,Supplier_C,178,3,409,85,399,1310.23,0.847,WH2
142,SKU-00142,Beauty,Supplier_B,98,9,717,69,109,1635.16,0.027,WH3
143,SKU-00143,Home,Supplier_A,30,2,774,94,360,1066.98,0.209,WH1
144,SKU-00144,Home,Supplier_C,50,14,599,89,140,1450.04,0.882,WH3
145,SKU-00145,Home,Supplier_B,122,5,470,181,347,1797.64,0.059,WH1
146,SKU-00146,Home,Supplier_A,50,4,452,267,374,1557.7,0.227,WH1
147,SKU-00147,Home,Supplier_A,18,6,393,288,329,1824.22,0.351,WH1
148,SKU-00148,Clothing,Supplier_C,89,14,454,230,248,890.72,0.751,WH3
149,SKU-00149,Grocery,Supplier_A,67,6,206,55,167,1813.23,0.56,WH2
150,SKU-00150,Home,Supplier_B,76,6,770,82,232,1262.06,0.955,WH2
151,SKU-00151,Electronics,Supplier_A,7,13,409,63,104,1746.6,0.228,WH3
152,SKU-00152,Electronics,Supplier_A,32,5,237,230,320,126.78,0.872,WH1
153,SKU-00153,Electronics,Supplier_B,129,9,127,18,54,1332.81,0.283,WH2
154,SKU-00154,Electronics,Supplier_A,161,4,569,181,150,1703.55,0.245,WH2
155,SKU-00155,Clothing,Supplier_A,91,13,368,93,335,389.69,0.498,WH3
156,SKU-00156,Electronics,Supplier_A,150,5,541,21,102,1340.48,0.071,WH1
157,SKU-00157,Home,Supplier_A,167,2,45,41,267,1658.66,0.384,WH2
158,SKU-00158,Beauty,Supplier_B,81,8,67,298,378,611.5,0.356,WH3
159,SKU-00159,Electronics,Supplier_A,80,2,389,281,335,840.23,0.16,WH3
160,SKU-00160,Clothing,Supplier_B,179,3,33,187,289,1160.56,0.861,WH1
161,SKU-00161,Clothing,Supplier_A,118,12,631,123,263,1062.38,0.386,WH3
162,SKU-00162,Electronics,Supplier_A,137,8,206,35,153,126.42,0.982,WH1
163,SKU-00163,Beauty,Supplier_A,79,2,543,246,271,242.41,0.9,WH2
164,SKU-00164,Electronics,Supplier_A,63,12,298,181,389,245.91,0.195,WH3
165,SKU-00165,Clothing,Supplier_B,63,4,360,242,397,561.42,0.505,WH2
166,SKU-00166,Grocery,Supplier_B,51,14,347,46,238,529.44,0.602,WH1
167,SKU-00167,Home,Supplier_B,99,7,698,274,376,1497.33,0.819,WH1
168,SKU-00168,Clothing,Supplier_C,145,7,653,22,373,1166.85,0.886,WH1
169,SKU-00169,Electronics,Supplier_A,82,7,626,115,360,1539.75,0.624,WH3
170,SKU-00170,Home,Supplier_A,117,12,44,135,148,186.3,0.035,WH3
171,SKU-00171,Electronics,Supplier_B,113,14,548,139,146,996.17,0.481,WH3
172,SKU-00172,Electronics,Supplier_C,110,3,445,265,376,681.36,0.885,WH2
173,SKU-00173,Grocery,Supplier_A,93,3,48,124,122,1707.38,0.714,WH2
174,SKU-00174,Home,Supplier_B,37,7,342,133,305,1430.19,0.87,WH3
175,SKU-00175,Home,Supplier_A,101,11,332,265,280,1745.05,0.674,WH2
176,SKU-00176,Grocery,Supplier_A,194,6,603,148,219,140.53,0.044,WH1
177,SKU-00177,Clothing,Supplier_B,83,8,289,215,382,1455.61,0.968,WH3
178,SKU-00178,Electronics,Supplier_B,20,8,781,56,206,1103.02,0.918,WH1
179,SKU-00179,Beauty,Supplier_A,48,6,314,226,271,1658.75,0.127,WH1
180,SKU-00180,Electronics,Supplier_A,190,9,675,132,395,1038.96,0.113,WH1
181,SKU-00181,Electronics,Supplier_B,124,11,242,40,148,1103.41,0.539,WH2
182,SKU-00182,Clothing,Supplier_A,138,7,94,64,269,150.95,0.757,WH1
183,SKU-00183,Electronics,Supplier_A,112,6,121,162,293,1353.62,0.382,WH2
184,SKU-00184,Grocery,Supplier_B,147,5,551,295,308,582.62,0.136,WH1
185,SKU-00185,Grocery,Supplier_A,8,8,648,45,243,88.4,0.511,WH3
186,SKU-00186,Home,Supplier_A,60,5,705,294,199,179.55,0.338,WH1
187,SKU-00187,Beauty,Supplier_C,68,6,192,265,204,1916.71,0.352,WH1
188,SKU-00188,Electronics,Supplier_B,166,6,23,187,71,724.85,0.645,WH3
189,SKU-00189,Electronics,Supplier_C,99,2,498,45,165,1742.75,0.886,WH2
190,SKU-00190,Clothing,Supplier_C,60,2,679,263,162,1921.37,0.559,WH3
191,SKU-00191,Grocery,Supplier_C,36,4,414,171,260,1889.37,0.688,WH1
192,SKU-00192,Beauty,Supplier_A,120,12,645,30,73,1769.36,0.66,WH1
193,SKU-00193,Home,Supplier_A,13,4,186,84,332,1794.95,0.551,WH2
194,SKU-00194,Grocery,Supplier_C,195,3,319,216,341,613.57,0.311,WH1
195,SKU-00195,Home,Supplier_C,109,13,137,187,105,345.37,0.378,WH1
196,SKU-00196,Clothing,Supplier_C,82,3,531,46,315,1296.56,0.316,WH2
197,SKU-00197,Clothing,Supplier_A,165,7,631,129,103,1001.81,0.917,WH2
198,SKU-00198,Electronics,Supplier_C,91,14,194,127,386,242.56,0.827,WH2
199,SKU-00199,Beauty,Supplier_C,25,2,178,10,157,1371.21,0.579,WH2
200,SKU-00200,Home,Supplier_B,59,7,403,218,251,1147.58,0.912,WH1
201,SKU-00201,Grocery,Supplier_B,80,6,246,217,251,1732.98,0.886,WH2
202,SKU-00202,Clothing,Supplier_A,189,7,57,163,386,1237.91,0.928,WH2
203,SKU-00203,Electronics,Supplier_B,134,6,482,259,267,1169.2,0.222,WH1
204,SKU-00204,Electronics,Supplier_B,145,8,450,180,292,909.47,0.718,WH2
205,SKU-00205,Home,Supplier_B,130,2,729,116,227,952.43,0.609,WH1
206,SKU-00206,Clothing,Supplier_A,136,14,667,152,110,1911.04,0.734,WH2
207,SKU-00207,Beauty,Supplier_B,88,4,123,17,85,319.97,0.263,WH2
208,SKU-00208,Clothing,Supplier_A,182,7,212,103,95,920.13,0.695,WH3
209,SKU-00209,Home,Supplier_C,119,2,269,106,144,1328.86,0.41,WH1
210,SKU-00210,Home,Supplier_B,52,14,32,16,376,894.37,0.834,WH2
211,SKU-00211,Clothing,Supplier_A,127,12,586,283,93,602.27,0.795,WH3
212,SKU-00212,Home,Supplier_B,82,12,616,21,369,610.35,0.211,WH3
213,SKU-00213,Clothing,Supplier_C,34,8,640,11,275,505.63,0.184,WH1
214,SKU-00214,Grocery,Supplier_A,33,5,574,16,195,720.61,0.718,WH3
215,SKU-00215,Clothing,Supplier_A,140,4,407,21,318,1749.77,0.55,WH1
216,SKU-00216,Clothing,Supplier_A,144,11,90,66,62,1035.19,0.557,WH3
217,SKU-00217,Home,Supplier_C,45,10,799,87,74,518.47,0.753,WH1
218,SKU-00218,Home,Supplier_C,30,2,590,83,310,799.83,0.855,WH2
219,SKU-00219,Electronics,Supplier_C,54,9,457,242,177,256.37,0.239,WH1
220,SKU-00220,Electronics,Supplier_A,6,2,63,288,88,1812.87,0.556,WH3
221,SKU-00221,Grocery,Supplier_C,59,14,291,39,206,845.99,0.829,WH1
222,SKU-00222,Electronics,Supplier_B,108,6,33,104,234,1961.76,0.873,WH2
223,SKU-00223,Clothing,Supplier_C,188,11,390,65,223,727.7,0.287,WH2
224,SKU-00224,Home,Supplier_A,18,9,131,19,235,1680.89,0.104,WH3
225,SKU-00225,Electronics,Supplier_B,138,7,398,156,330,549.95,0.233,WH3
226,SKU-00226,Electronics,Supplier_C,132,8,333,96,123,198.5,0.945,WH3
227,SKU-00227,Grocery,Supplier_B,108,12,434,262,344,111.88,0.462,WH2
228,SKU-00228,Grocery,Supplier_B,99,9,759,196,65,1232.03,0.419,WH2
229,SKU-00229,Clothing,Supplier_A,85,14,504,242,237,657.57,0.013,WH3
230,SKU-00230,Home,Supplier_B,65,7,188,262,221,914.86,0.051,WH2
231,SKU-00231,Grocery,Supplier_B,16,12,265,233,235,1646.36,0.669,WH2
232,SKU-00232,Electronics,Supplier_A,17,7,285,13,81,533.81,0.59,WH3
233,SKU-00233,Home,Supplier_A,151,12,262,121,112,651.87,0.576,WH2
234,SKU-00234,Home,Supplier_A,176,7,689,202,398,1698.41,0.11,WH3
235,SKU-00235,Electronics,Supplier_B,93,6,319,150,350,1010.89,0.352,WH2
236,SKU-00236,Grocery,Supplier_B,99,9,346,149,358,1663.95,0.812,WH1
237,SKU-00237,Electronics,Supplier_B,63,14,549,104,238,780.23,0.175,WH1
238,SKU-00238,Home,Supplier_A,41,3,614,50,355,826.82,0.883,WH2
239,SKU-00239,Beauty,Supplier_C,29,8,762,11,75,375.92,0.121,WH2
240,SKU-00240,Beauty,Supplier_B,20,5,361,287,395,1836.87,0.169,WH1
241,SKU-00241,Clothing,Supplier_C,170,2,784,159,88,1798.73,0.478,WH3
242,SKU-00242,Electronics,Supplier_A,175,14,698,50,242,1969.22,0.945,WH3
243,SKU-00243,Electronics,Supplier_B,91,6,573,125,212,834.77,0.33,WH1
244,SKU-00244,Clothing,Supplier_C,146,4,268,129,102,1646.3,0.658,WH3
245,SKU-00245,Clothing,Supplier_B,138,5,779,246,223,859.16,0.589,WH3
246,SKU-00246,Clothing,Supplier_B,27,8,399,279,245,935.88,0.15,WH1
247,SKU-00247,Home,Supplier_B,130,6,551,18,260,1668.5,0.248,WH1
248,SKU-00248,Electronics,Supplier_C,64,5,400,248,327,395.87,0.93,WH2
249,SKU-00249,Home,Supplier_A,144,2,61,127,237,479.61,0.185,WH1
250,SKU-00250,Clothing,Supplier_B,145,7,364,19,357,663.72,0.695,WH1
251,SKU-00251,Electronics,Supplier_A,104,12,618,34,380,1586.95,0.965,WH3
252,SKU-00252,Home,Supplier_A,107,11,280,182,263,776.67,0.12,WH3
253,SKU-00253,Home,Supplier_C,138,7,325,234,378,748.43,0.399,WH2
254,SKU-00254,Clothing,Supplier_C,67,8,259,20,78,1997.69,0.224,WH3
255,SKU-00255,Electronics,Supplier_A,42,2,698,110,220,798.42,0.222,WH3
256,SKU-00256,Clothing,Supplier_B,132,5,332,274,171,533.15,0.119,WH3
257,SKU-00257,Electronics,Supplier_C,54,13,750,92,208,1265.27,0.65,WH1
258,SKU-00258,Beauty,Supplier_B,184,10,460,285,135,1613.67,0.746,WH3
259,SKU-00259,Grocery,Supplier_B,44,13,152,270,351,185.74,0.677,WH1
260,SKU-00260,Grocery,Supplier_B,12,11,738,230,53,1256.84,0.925,WH3
261,SKU-00261,Grocery,Supplier_A,193,7,70,228,51,119.68,0.146,WH1
262,SKU-00262,Clothing,Supplier_B,12,3,637,98,182,1076.35,0.32,WH3
263,SKU-00263,Beauty,Supplier_A,108,5,411,24,351,551.13,0.345,WH2
264,SKU-00264,Electronics,Supplier_A,38,7,715,255,128,647.95,0.232,WH2
265,SKU-00265,Home,Supplier_B,192,5,732,185,196,960.84,0.142,WH2
266,SKU-00266,Electronics,Supplier_B,61,11,542,13,215,1857.86,0.487,WH3
267,SKU-00267,Home,Supplier_B,178,8,785,30,364,1435.8,0.834,WH2
268,SKU-00268,Electronics,Supplier_B,26,13,527,217,287,1876.85,0.955,WH1
269,SKU-00269,Beauty,Supplier_A,91,14,681,146,377,1336.94,0.129,WH2
270,SKU-00270,Home,Supplier_B,44,4,373,225,325,63.86,0.823,WH2
271,SKU-00271,Clothing,Supplier_B,177,7,414,126,253,567.89,0.825,WH2
272,SKU-00272,Electronics,Supplier_A,187,14,115,188,102,1816.26,0.389,WH2
273,SKU-00273,Electronics,Supplier_C,183,13,125,255,156,1304.72,0.11,WH1
274,SKU-00274,Home,Supplier_C,90,5,674,137,104,1964.21,0.99,WH2
275,SKU-00275,Clothing,Supplier_A,137,4,697,87,295,354.13,0.656,WH3
276,SKU-00276,Clothing,Supplier_C,99,13,532,238,213,628.66,0.982,WH2
277,SKU-00277,Beauty,Supplier_A,17,4,577,271,64,756.62,0.484,WH3
278,SKU-00278,Clothing,Supplier_B,32,3,261,91,50,686.79,0.395,WH3
279,SKU-00279,Clothing,Supplier_B,88,12,507,75,186,541.38,0.247,WH2
280,SKU-00280,Clothing,Supplier_C,66,4,534,105,200,914.76,0.984,WH2
281,SKU-00281,Grocery,Supplier_B,97,14,673,154,229,1302.48,0.253,WH3
282,SKU-00282,Beauty,Supplier_C,91,13,80,74,281,656.95,0.024,WH1
283,SKU-00283,Electronics,Supplier_C,28,11,435,18,237,205.41,0.512,WH1
284,SKU-00284,Home,Supplier_B,102,2,313,195,67,1431.64,0.377,WH2
285,SKU-00285,Electronics,Supplier_B,11,4,756,167,274,945.08,0.261,WH1
286,SKU-00286,Beauty,Supplier_C,170,10,321,40,154,1135.14,0.635,WH1
287,SKU-00287,Home,Supplier_B,41,5,189,160,255,938.03,0.364,WH2
288,SKU-00288,Beauty,Supplier_A,72,4,665,251,235,1786.2,0.402,WH3
289,SKU-00289,Clothing,Supplier_B,174,9,60,165,114,1139.55,0.023,WH3
290,SKU-00290,Home,Supplier_B,90,2,250,68,382,1850.39,0.589,WH1
291,SKU-00291,Clothing,Supplier_A,137,6,428,19,256,1045.62,0.122,WH3
292,SKU-00292,Electronics,Supplier_B,196,2,757,133,278,620.55,0.214,WH2
293,SKU-00293,Electronics,Supplier_B,182,8,670,291,118,743.11,0.717,WH1
294,SKU-00294,Home,Supplier_C,91,6,641,246,191,1068.15,0.313,WH3
295,SKU-00295,Home,Supplier_B,19,3,316,26,255,1083.48,0.163,WH1
296,SKU-00296,Beauty,Supplier_B,127,13,474,32,223,1390.31,0.577,WH3
297,SKU-00297,Beauty,Supplier_A,111,2,76,18,246,487.77,0.215,WH1
298,SKU-00298,Clothing,Supplier_C,185,12,654,216,380,1334.74,0.271,WH3
299,SKU-00299,Home,Supplier_C,157,8,259,54,356,1568.25,0.621,WH3
300,SKU-00300,Electronics,Supplier_C,93,13,617,36,246,1369.35,0.74,WH2
301,SKU-00301,Beauty,Supplier_B,129,2,195,197,277,989.56,0.74,WH2
302,SKU-00302,Beauty,Supplier_C,117,4,82,149,320,1983.78,0.482,WH2
303,SKU-00303,Electronics,Supplier_A,141,12,570,18,248,839.39,0.454,WH1
304,SKU-00304,Beauty,Supplier_C,170,7,157,243,374,257.85,0.788,WH1
305,SKU-00305,Clothing,Supplier_A,154,7,473,101,64,1651.93,0.193,WH1
306,SKU-00306,Home,Supplier_C,111,8,772,86,335,463.79,0.152,WH3
307,SKU-00307,Electronics,Supplier_C,91,12,468,253,383,1440.91,0.665,WH3
308,SKU-00308,Home,Supplier_A,181,12,245,164,265,399,0.41,WH3
309,SKU-00309,Beauty,Supplier_C,72,2,462,227,84,82.91,0.71,WH1
310,SKU-00310,Beauty,Supplier_C,19,8,225,294,118,361.61,0.257,WH2
311,SKU-00311,Electronics,Supplier_C,69,3,695,159,261,785.13,0.325,WH1
312,SKU-00312,Clothing,Supplier_B,58,7,46,97,95,257.91,0.897,WH1
313,SKU-00313,Grocery,Supplier_A,162,14,476,115,297,435.47,0.422,WH2
314,SKU-00314,Electronics,Supplier_C,97,9,714,104,134,1541.02,0.591,WH2
315,SKU-00315,Grocery,Supplier_A,24,14,729,262,97,1551.27,0.107,WH1
316,SKU-00316,Grocery,Supplier_A,37,6,126,48,280,1644.1,0.179,WH3
317,SKU-00317,Clothing,Supplier_A,104,11,463,264,116,1690.25,0.036,WH3
318,SKU-00318,Grocery,Supplier_C,81,4,720,63,138,869.85,0.424,WH2
319,SKU-00319,Grocery,Supplier_C,139,12,55,252,268,1741.72,0.989,WH1
320,SKU-00320,Clothing,Supplier_A,140,9,616,119,101,1075.58,0.874,WH3
321,SKU-00321,Grocery,Supplier_B,160,9,174,263,71,967.66,0.633,WH3
